"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "XML", "HTML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\narihani\Desktop\video-hosting\backend\contollers\user-controller.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 0, 9, 76
"c:\Users\narihani\Desktop\video-hosting\backend\contollers\video-controller.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 8, 46
"c:\Users\narihani\Desktop\video-hosting\backend\db.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\narihani\Desktop\video-hosting\backend\dtos\user-dto.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\narihani\Desktop\video-hosting\backend\exceptions\api-error.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\narihani\Desktop\video-hosting\backend\index.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 1, 5, 30
"c:\Users\narihani\Desktop\video-hosting\backend\middlewares\auth-middleware.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 1, 4, 27
"c:\Users\narihani\Desktop\video-hosting\backend\middlewares\error-middleware.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\narihani\Desktop\video-hosting\backend\middlewares\file-middleware.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\narihani\Desktop\video-hosting\backend\models\associations.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 10, 42
"c:\Users\narihani\Desktop\video-hosting\backend\models\channel-model.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 5, 57
"c:\Users\narihani\Desktop\video-hosting\backend\models\playlist-model.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\narihani\Desktop\video-hosting\backend\models\token-model.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\narihani\Desktop\video-hosting\backend\models\user-model.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 4, 42
"c:\Users\narihani\Desktop\video-hosting\backend\models\video-model.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 4, 55
"c:\Users\narihani\Desktop\video-hosting\backend\package-lock.json", "JSON", 3780, 0, 0, 0, 0, 0, 0, 0, 1, 3781
"c:\Users\narihani\Desktop\video-hosting\backend\package.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\narihani\Desktop\video-hosting\backend\router\index.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\narihani\Desktop\video-hosting\backend\services\channel-service.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\narihani\Desktop\video-hosting\backend\services\mail-service.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\narihani\Desktop\video-hosting\backend\services\token-service.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 0, 7, 55
"c:\Users\narihani\Desktop\video-hosting\backend\services\user-service.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 5, 22, 119
"c:\Users\narihani\Desktop\video-hosting\backend\services\video-service.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 10, 16, 72
"c:\Users\narihani\Desktop\video-hosting\frontend\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 33, 71
"c:\Users\narihani\Desktop\video-hosting\frontend\package-lock.json", "JSON", 29135, 0, 0, 0, 0, 0, 0, 0, 1, 29136
"c:\Users\narihani\Desktop\video-hosting\frontend\package.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 0, 1, 47
"c:\Users\narihani\Desktop\video-hosting\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 1, 3, 17
"c:\Users\narihani\Desktop\video-hosting\frontend\src\App.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 2, 6, 65
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\AddVideoBtn\AddVideoBtn.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 3, 15
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\AddVideoBtn\AddVideoBtn.module.css", "CSS", 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\ChannelLayout\ChannelLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 3, 53
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\ChannelLayout\ChannelLayout.module.css", "CSS", 0, 0, 0, 53, 0, 0, 0, 0, 9, 62
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\ChannelsListItem\ChannelsListItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 2, 20
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\ChannelsListItem\ChannelsListItem.module.css", "CSS", 0, 0, 0, 47, 0, 0, 0, 0, 5, 52
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\ChannelsList\ChannelsList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 2, 17
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\ChannelsList\ChannelsList.module.css", "CSS", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\Header\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 1, 20
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\Header\Header.module.css", "CSS", 0, 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\Layout\Layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 3, 21
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\Layout\Layout.module.css", "CSS", 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\Logo\Logo.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\Logo\Logo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\MenuItem\MenuItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\MenuItem\MenuItem.module.css", "CSS", 0, 0, 0, 23, 0, 0, 0, 0, 2, 25
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\Menu\Menu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 2, 17
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\Menu\Menu.module.css", "CSS", 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\Notifications\Notifications.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 2, 17
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\Notifications\Notifications.module.css", "CSS", 0, 0, 0, 36, 0, 0, 0, 0, 2, 38
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\PlayerDescription\PlayerDescription.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 2, 46
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\PlayerDescription\PlayerDescription.module.css", "CSS", 0, 0, 0, 89, 0, 0, 0, 0, 10, 99
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\Player\Player.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 219, 1, 32, 252
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\Player\Player.module.css", "CSS", 0, 0, 0, 212, 0, 0, 0, 2, 24, 238
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\PlaylistListItem\PlaylistListItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 2, 23
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\PlaylistListItem\PlaylistListItem.module.css", "CSS", 0, 0, 0, 52, 0, 0, 0, 0, 4, 56
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\PlaylistVideocardsItem\PlaylistVideocardsItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 1, 22
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\PlaylistVideocardsItem\PlaylistVideocardsItem.module.css", "CSS", 0, 0, 0, 44, 0, 0, 0, 0, 6, 50
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\PlaylistVideocards\PlaylistVideocards.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\PlaylistVideocards\PlaylistVideocards.module.css", "CSS", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\PlaylistsList\PlaylistsList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 1, 16
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\PlaylistsList\PlaylistsList.module.css", "CSS", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\SearchBar\SearchBar.css", "CSS", 0, 0, 0, 30, 0, 0, 0, 0, 2, 32
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\SearchBar\SearchBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\Sidebar\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 6, 33
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\Sidebar\Sidebar.module.css", "CSS", 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\User\User.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 9, 6, 2, 17
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\User\User.module.css", "CSS", 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\VideoCard\VideoCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 2, 27
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\VideoCard\VideoCard.module.css", "CSS", 0, 0, 0, 44, 0, 0, 0, 0, 4, 48
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\VideoCards\VideoCards.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 12, 2, 29
"c:\Users\narihani\Desktop\video-hosting\frontend\src\components\VideoCards\VideoCards.module.css", "CSS", 0, 0, 0, 25, 0, 0, 0, 0, 2, 27
"c:\Users\narihani\Desktop\video-hosting\frontend\src\fonts\icomoon.svg", "XML", 0, 0, 0, 0, 26, 0, 0, 0, 0, 26
"c:\Users\narihani\Desktop\video-hosting\frontend\src\hooks\useOnClickOutside.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 7, 0, 27
"c:\Users\narihani\Desktop\video-hosting\frontend\src\http\index.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\3dotsIcon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\addVideoBtn.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\comments.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\favourites.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\following.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\home.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\like.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\logo.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\menuArrow.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\notice.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\recent.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\saved.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\searchIcon.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\settings-icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\share.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\trending.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\videoplayer\backward-5.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\videoplayer\exitFullscreen.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\videoplayer\forward-5.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\videoplayer\fullscreen.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\videoplayer\muted.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\videoplayer\next.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\videoplayer\pause.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\videoplayer\play.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\videoplayer\previous.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\videoplayer\setting.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\videoplayer\volume.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\yourvideos.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\narihani\Desktop\video-hosting\frontend\src\index.css", "CSS", 0, 0, 0, 106, 0, 0, 0, 2, 6, 114
"c:\Users\narihani\Desktop\video-hosting\frontend\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\Channel\ChannelAbout\ChannelAbout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 3, 38
