Date : 2023-06-01 21:04:31
Directory : c:\Users\narihani\Desktop\video-hosting
Total : 129 files,  36643 codes, 89 comments, 475 blanks, all 37207 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          6 |     33,003 |          0 |          6 |     33,009 |
| CSS            |         31 |      1,401 |         16 |        137 |      1,554 |
| JavaScript JSX |         31 |      1,146 |         21 |        123 |      1,290 |
| JavaScript     |         30 |        899 |         51 |        148 |      1,098 |
| XML            |         29 |        143 |          0 |         25 |        168 |
| Markdown       |          1 |         38 |          0 |         33 |         71 |
| HTML           |          1 |         13 |          1 |          3 |         17 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |        129 |     36,643 |         89 |        475 |     37,207 |
| . (Files)                                                                                                                |          2 |          7 |          0 |          2 |          9 |
| backend                                                                                                                  |         23 |      4,532 |         17 |        128 |      4,677 |
| backend (Files)                                                                                                          |          4 |      3,858 |          1 |          9 |      3,868 |
| backend\contollers                                                                                                       |          2 |        105 |          0 |         17 |        122 |
| backend\dtos                                                                                                             |          1 |         15 |          0 |          2 |         17 |
| backend\exceptions                                                                                                       |          1 |         15 |          0 |          3 |         18 |
| backend\middlewares                                                                                                      |          3 |         48 |          1 |          9 |         58 |
| backend\models                                                                                                           |          6 |        231 |          0 |         31 |        262 |
| backend\router                                                                                                           |          1 |         20 |          0 |          3 |         23 |
| backend\services                                                                                                         |          5 |        240 |         15 |         54 |        309 |
| frontend                                                                                                                 |        104 |     32,104 |         72 |        345 |     32,521 |
| frontend (Files)                                                                                                         |          3 |     29,219 |          0 |         35 |     29,254 |
| frontend\public                                                                                                          |          1 |         13 |          1 |          3 |         17 |
| frontend\src                                                                                                             |        100 |      2,872 |         71 |        307 |      3,250 |
| frontend\src (Files)                                                                                                     |          3 |        175 |          4 |         14 |        193 |
| frontend\src\components                                                                                                  |         42 |      1,391 |         21 |        154 |      1,566 |
| frontend\src\components\AddVideoBtn                                                                                      |          2 |         37 |          0 |          4 |         41 |
| frontend\src\components\ChannelLayout                                                                                    |          2 |        103 |          0 |         12 |        115 |
| frontend\src\components\ChannelsList                                                                                     |          2 |         20 |          0 |          2 |         22 |
| frontend\src\components\ChannelsListItem                                                                                 |          2 |         65 |          0 |          7 |         72 |
| frontend\src\components\Header                                                                                           |          2 |         40 |          0 |          2 |         42 |
| frontend\src\components\Layout                                                                                           |          2 |         38 |          0 |          6 |         44 |
| frontend\src\components\Logo                                                                                             |          2 |         24 |          0 |          2 |         26 |
| frontend\src\components\Menu                                                                                             |          2 |         22 |          0 |          2 |         24 |
| frontend\src\components\MenuItem                                                                                         |          2 |         34 |          0 |          4 |         38 |
| frontend\src\components\Notifications                                                                                    |          2 |         51 |          0 |          4 |         55 |
| frontend\src\components\Player                                                                                           |          2 |        431 |          3 |         56 |        490 |
| frontend\src\components\PlayerDescription                                                                                |          2 |        133 |          0 |         12 |        145 |
| frontend\src\components\PlaylistListItem                                                                                 |          2 |         73 |          0 |          6 |         79 |
| frontend\src\components\PlaylistVideocards                                                                               |          2 |         18 |          0 |          2 |         20 |
| frontend\src\components\PlaylistVideocardsItem                                                                           |          2 |         65 |          0 |          7 |         72 |
| frontend\src\components\PlaylistsList                                                                                    |          2 |         20 |          0 |          1 |         21 |
| frontend\src\components\SearchBar                                                                                        |          2 |         43 |          0 |          4 |         47 |
| frontend\src\components\Sidebar                                                                                          |          2 |         34 |          0 |          6 |         40 |
| frontend\src\components\User                                                                                             |          2 |         31 |          6 |          5 |         42 |
| frontend\src\components\VideoCard                                                                                        |          2 |         69 |          0 |          6 |         75 |
| frontend\src\components\VideoCards                                                                                       |          2 |         40 |         12 |          4 |         56 |
| frontend\src\fonts                                                                                                       |          1 |         26 |          0 |          0 |         26 |
| frontend\src\hooks                                                                                                       |          1 |         20 |          7 |          0 |         27 |
| frontend\src\http                                                                                                        |          1 |         28 |          0 |          5 |         33 |
| frontend\src\img                                                                                                         |         28 |        117 |          0 |         25 |        142 |
| frontend\src\img (Files)                                                                                                 |         17 |         61 |          0 |         14 |         75 |
| frontend\src\img\videoplayer                                                                                             |         11 |         56 |          0 |         11 |         67 |
| frontend\src\pages                                                                                                       |         19 |      1,050 |         14 |        100 |      1,164 |
| frontend\src\pages\Channel                                                                                               |          8 |        117 |          0 |         16 |        133 |
| frontend\src\pages\Channel\ChannelAbout                                                                                  |          2 |         53 |          0 |          8 |         61 |
| frontend\src\pages\Channel\ChannelChannels                                                                               |          2 |         23 |          0 |          3 |         26 |
| frontend\src\pages\Channel\ChannelFeatured                                                                               |          2 |         16 |          0 |          2 |         18 |
| frontend\src\pages\Channel\ChannelPlaylists                                                                              |          2 |         25 |          0 |          3 |         28 |
| frontend\src\pages\CreateVideo                                                                                           |          2 |        343 |          4 |         31 |        378 |
| frontend\src\pages\Home                                                                                                  |          1 |         21 |          0 |          5 |         26 |
| frontend\src\pages\Login                                                                                                 |          2 |        165 |          4 |         15 |        184 |
| frontend\src\pages\Playlist                                                                                              |          2 |        184 |          1 |         16 |        201 |
| frontend\src\pages\Registration                                                                                          |          2 |        210 |          5 |         15 |        230 |
| frontend\src\pages\VideoPlayer                                                                                           |          2 |         10 |          0 |          2 |         12 |
| frontend\src\services                                                                                                    |          3 |         37 |          1 |          3 |         41 |
| frontend\src\store                                                                                                       |          2 |         28 |         24 |          6 |         58 |
| frontend\src\store (Files)                                                                                               |          1 |          9 |          0 |          2 |         11 |
| frontend\src\store\slices                                                                                                |          1 |         19 |         24 |          4 |         47 |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                 | language       | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\narihani\Desktop\video-hosting\backend\contollers\user-controller.js                                            | JavaScript     |         67 |          0 |          9 |         76 |
| c:\Users\narihani\Desktop\video-hosting\backend\contollers\video-controller.js                                           | JavaScript     |         38 |          0 |          8 |         46 |
| c:\Users\narihani\Desktop\video-hosting\backend\db.js                                                                    | JavaScript     |         19 |          0 |          2 |         21 |
